# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_CODON_INSERTION	variants_effect_DOWNSTREAM	variants_effect_FRAME_SHIFT	variants_effect_FRAME_SHIFT+START_LOST	variants_effect_FRAME_SHIFT+STOP_GAINED	variants_effect_FRAME_SHIFT+STOP_LOST	variants_effect_INTRON	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_ACCEPTOR+INTRON	variants_effect_SPLICE_SITE_DONOR+INTRON	variants_effect_START_LOST+CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_START_LOST+CODON_INSERTION	variants_effect_STOP_GAINED	variants_effect_STOP_GAINED+CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_STOP_GAINED+CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_STOP_GAINED+CODON_INSERTION	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_SYNONYMOUS_STOP	variants_effect_UPSTREAM	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
ABCB7	PF3D7_1209900	PF3D7_1209900.1		0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
ABCE1	PF3D7_1368200	PF3D7_1368200.1		0	0	0	16	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	5000	0	0	0	1	0	114	0	0	0	0	0	0	0	0	0	3	0	5000
ABCF1	PF3D7_0813700	PF3D7_0813700.1		0	0	2	11	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	5000	2	0	4260	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ABCG2	PF3D7_1426500	PF3D7_1426500.1		0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ABCI3	PF3D7_0319700	PF3D7_0319700.1		0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
ABCK1	PF3D7_0810200	PF3D7_0810200.1		1	0	0	13	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	5000	1	0	2823	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
ABCk2	PF3D7_1414500	PF3D7_1414500.1		0	0	1	20	1	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	5000	1	0	4416	1	0	128	0	0	0	0	0	0	0	0	0	5	0	5000
ACBP	PF3D7_1477800	PF3D7_1477800.1		0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5000
ACBP1	PF3D7_1001100	PF3D7_1001100.1		0	1	0	8	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	5000	1	0	708	1	0	213	0	0	0	0	0	0	0	0	0	0	0	0
ACBP1	PF3D7_1001100	PF3D7_1001100.2		0	1	0	8	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	5000	1	0	708	1	0	143	0	0	0	0	0	0	0	0	0	0	0	0
ACBP1	PF3D7_1329700	PF3D7_1329700.1		0	0	0	25	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5000
ACBP2	PF3D7_1001200	PF3D7_1001200.1		0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
ACC	PF3D7_1469600	PF3D7_1469600.1		0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
ACP	PF3D7_0208500	PF3D7_0208500.1		0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
ACPS	PF3D7_0420200	PF3D7_0420200.1		0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
ACS	PF3D7_0627800	PF3D7_0627800.1		0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ACS10	PF3D7_0525100	PF3D7_0525100.1		0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
ACS11	PF3D7_1238800	PF3D7_1238800.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ACS12	PF3D7_0619500	PF3D7_0619500.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
ACS1a	PF3D7_1479000	PF3D7_1479000.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
ACS2	PF3D7_0301000	PF3D7_0301000.1		0	0	1	57	0	0	0	0	56	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	56	0	5000	1	0	2460	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
ACS5	PF3D7_0731600	PF3D7_0731600.1		0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
ACS6	PF3D7_0401900	PF3D7_0401900.1		0	0	7	34	0	1	0	0	29	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	29	0	5000	7	0	2916	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
ACS7	PF3D7_1200700	PF3D7_1200700.1		1	0	0	95	0	0	0	0	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	94	0	5000	1	0	2781	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
ACS8	PF3D7_0215300	PF3D7_0215300.1		0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5000
ACS9	PF3D7_0215000	PF3D7_0215000.1		0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
ACT1	PF3D7_1246200	PF3D7_1246200.1		0	0	0	25	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5000
ACT2	PF3D7_1412500	PF3D7_1412500.1		0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ACalpha	PF3D7_1404600	PF3D7_1404600.1		0	0	0	26	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	5000	0	0	0	8	0	129	0	0	0	0	0	0	0	0	0	16	0	5000
ACalpha	PF3D7_1404600	PF3D7_1404600.2		0	0	0	24	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	5000	0	0	0	7	0	126	0	0	0	0	0	0	0	0	0	15	0	5000
ACalpha	PF3D7_1404600	PF3D7_1404600.3		0	0	0	26	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	5000	0	0	0	7	0	126	0	0	0	0	0	0	0	0	0	17	0	5000
ACbeta	PF3D7_0802600	PF3D7_0802600.1		7	9	16	8	0	3	0	1	4	4	0	3	0	2	12	0	0	0	0	0	0	0	0	0	9	0	2	4	0	5000	32	0	6027	2	0	211	0	0	0	0	0	0	0	0	0	2	0	5000
ADA	PF3D7_1029600	PF3D7_1029600.1		0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
ADA2	PF3D7_1014600	PF3D7_1014600.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
ADF1	PF3D7_0503400	PF3D7_0503400.1		0	0	0	16	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	5000	0	0	0	2	0	393	0	0	0	0	0	0	0	0	0	8	0	5000
ADF2	PF3D7_1361400	PF3D7_1361400.1		0	0	0	20	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
ADSS	PF3D7_1354500	PF3D7_1354500.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ADT	PF3D7_1037300	PF3D7_1037300.1		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
AHA1	PF3D7_0306200	PF3D7_0306200.1		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
AK1	PF3D7_1008900	PF3D7_1008900.1		0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
AK2	PF3D7_0816900	PF3D7_0816900.1		1	0	0	6	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5000	1	0	828	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
AKLP1	PF3D7_0110900	PF3D7_0110900.1		0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5000
AKLP2	PF3D7_0931900	PF3D7_0931900.1		0	0	0	15	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5000
ALAS	PF3D7_1246100	PF3D7_1246100.1		0	0	0	22	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	5000	0	0	0	1	0	157	0	0	0	0	0	0	0	0	0	1	0	5000
ALBA1	PF3D7_0814200	PF3D7_0814200.1		0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ALBA2	PF3D7_1346300	PF3D7_1346300.1		0	0	0	14	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	5000	0	0	0	2	0	204	0	0	0	0	0	0	0	0	0	6	0	5000
ALBA3	PF3D7_1006200	PF3D7_1006200.1		0	0	0	25	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	13	0	5000	0	0	0	1	0	205	0	0	0	0	0	0	0	0	0	11	0	5000
ALBA4	PF3D7_1347500	PF3D7_1347500.1		0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5000
ALG7	PF3D7_0321200	PF3D7_0321200.1		0	0	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	205	0	0	0	0	0	0	0	0	0	3	0	5000
ALP1	PF3D7_1110700	PF3D7_1110700.1		0	0	0	9	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	5000	0	0	0	2	0	187	0	0	0	0	0	0	0	0	0	4	0	5000
ALP2a	PF3D7_1103600	PF3D7_1103600.1		0	0	0	15	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
ALP2b	PF3D7_0505200	PF3D7_0505200.1		0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
ALP3	PF3D7_0728200	PF3D7_0728200.1		0	0	0	15	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	5000	0	0	0	2	0	202	0	0	0	0	0	0	0	0	0	4	0	5000
ALP5a	PF3D7_0910700	PF3D7_0910700.1		0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000
ALP5b	PF3D7_0409900	PF3D7_0409900.1		0	0	0	43	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	5000
ALV7	PF3D7_0621400	PF3D7_0621400.1		0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
AMA1	PF3D7_1133400	PF3D7_1133400.1		0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
AOP	PF3D7_0729200	PF3D7_0729200.1		0	0	0	37	0	0	0	0	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	29	0	5000	0	0	0	2	0	144	0	0	0	0	0	0	0	0	0	6	0	5000
AOS1	PF3D7_1144500	PF3D7_1144500.1		0	0	0	8	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000
AP1M1	PF3D7_1311400	PF3D7_1311400.1		0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
AP2-G	PF3D7_1222600	PF3D7_1222600.1		0	0	1	11	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	7	0	5000	1	0	7299	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
AP2-G2	PF3D7_1408200	PF3D7_1408200.1		0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
AP2-L	PF3D7_0730300	PF3D7_0730300.1		0	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5000
AP2-MU	PF3D7_1218300	PF3D7_1218300.1		0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
AP2-O	PF3D7_1143100	PF3D7_1143100.1		0	0	2	10	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	5000	2	0	4815	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
APN1	PF3D7_1332600	PF3D7_1332600.1		0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5000
APP	PF3D7_1454400	PF3D7_1454400.1		0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
AQP	PF3D7_1132800	PF3D7_1132800.1		0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
AQP2	PF3D7_0810400	PF3D7_0810400.1		0	0	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
ARA1	PF3D7_1312450	PF3D7_1312450.1		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000
ARC40	PF3D7_1118800	PF3D7_1118800.1		0	0	0	13	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	5000	0	0	0	1	0	227	0	0	0	0	0	0	0	0	0	6	0	5000
ARF-GAP	PF3D7_0526200	PF3D7_0526200.1		0	0	0	10	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5000	0	0	0	2	0	264	0	0	0	0	0	0	0	0	0	6	0	5000
ARF-GAP	PF3D7_0526200	PF3D7_0526200.2		0	0	0	10	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	5000	0	0	0	2	0	264	0	0	0	0	0	0	0	0	0	6	0	5000
ARF1	PF3D7_1020900	PF3D7_1020900.1		0	0	0	17	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	11	0	5000	0	0	0	1	0	148	0	0	0	0	0	0	0	0	0	5	0	5000
ARFGAP	PF3D7_1244600	PF3D7_1244600.1		0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000
ARK1	PF3D7_0605300	PF3D7_0605300.1		0	0	0	9	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	5000	0	0	0	2	0	127	0	0	0	0	0	0	0	0	0	2	0	5000
ARK2	PF3D7_0309200	PF3D7_0309200.1		0	6	14	28	0	0	0	0	9	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	6	0	18	9	0	5000	20	0	4791	1	0	390	0	0	0	0	0	0	0	0	0	18	0	5000
ARK3	PF3D7_1356800	PF3D7_1356800.1		0	1	9	7	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	4	3	0	5000	10	0	12135	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ARNP	PF3D7_0511600	PF3D7_0511600.1		0	0	1	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	5000	1	0	627	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ARO	PF3D7_0414900	PF3D7_0414900.1		0	0	0	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5000	0	0	0	1	0	172	0	0	0	0	0	0	0	0	0	2	0	5000
ARP	PF3D7_0909300	PF3D7_0909300.1		0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5000	0	0	0	1	0	104	0	0	0	0	0	0	0	0	0	1	0	5000
ARP1	PF3D7_0103800	PF3D7_0103800.1		0	0	0	14	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	5000	0	0	0	2	0	100	0	0	0	0	0	0	0	0	0	7	0	5000
ARP4a	PF3D7_1422800	PF3D7_1422800.1		0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
ARP6	PF3D7_0719300	PF3D7_0719300.1		0	0	1	10	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	5000	1	0	3099	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000
ARPS10	PF3D7_1460900	PF3D7_1460900.1		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPS10	PF3D7_1460900	PF3D7_1460900.2		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
